source,term,start_date,end_date,count,enabled,created_on,last_updated,comment
national-endowment-for-the-humanities,literature,1/1/2000,1/1/2020,,,,,
alabama-humanities-council,literature,1/1/2000,1/1/2020,,,,,
alaska-humanites-forum,literature,1/1/2000,1/1/2020,,,,,
amerika-samoa-humanities-council,literature,1/1/2000,1/1/2020,,,,,
arizona-humanities-council,literature,1/1/2000,1/1/2020,,,,,
arkansas-humanities-council,literature,1/1/2000,1/1/2020,,,,,
california-humanities,literature,1/1/2000,1/1/2020,,,,,
colorado-humanities,literature,1/1/2000,1/1/2020,,,,,
connecticut-humanities,literature,1/1/2000,1/1/2020,,,,,
delaware-humanities,literature,1/1/2000,1/1/2020,,,,,
humanities-dc,literature,1/1/2000,1/1/2020,,,,,
florida-humanities-council,literature,1/1/2000,1/1/2020,,,,,
georgia-humanities,literature,1/1/2000,1/1/2020,,,,,
humanities-guahan-guam,literature,1/1/2000,1/1/2020,,,,,
hawai-i-council-for-the-humanities,literature,1/1/2000,1/1/2020,,,,,
idaho-humanities-council,literature,1/1/2000,1/1/2020,,,,,
illinois-humanities,literature,1/1/2000,1/1/2020,,,,,
indiana-humanties,literature,1/1/2000,1/1/2020,,,,,
humanities-iowa,literature,1/1/2000,1/1/2020,,,,,
humanities-kansas,literature,1/1/2000,1/1/2020,,,,,
kentucky-humanities,literature,1/1/2000,1/1/2020,,,,,
louisiana-endowment-for-the-humanities,literature,1/1/2000,1/1/2020,,,,,
maine-humanities-council,literature,1/1/2000,1/1/2020,,,,,
maryland-humanities,literature,1/1/2000,1/1/2020,,,,,
mass-humanities-massachusets,literature,1/1/2000,1/1/2020,,,,,
mi-humanities-michicgan,literature,1/1/2000,1/1/2020,,,,,
minnesota-humanities-center,literature,1/1/2000,1/1/2020,,,,,
mississippi-humanities,literature,1/1/2000,1/1/2020,,,,,
missouri-humanities,literature,1/1/2000,1/1/2020,,,,,
humanities-montana,literature,1/1/2000,1/1/2020,,,,,
humanities-nebraska,literature,1/1/2000,1/1/2020,,,,,
nevada-humanities,literature,1/1/2000,1/1/2020,,,,,
new-hampshire-humanities,literature,1/1/2000,1/1/2020,,,,,
new-jersey-council-for-the-humanities,literature,1/1/2000,1/1/2020,,,,,
new-mexico-humanities-council,literature,1/1/2000,1/1/2020,,,,,
new-york-humanities-council,literature,1/1/2000,1/1/2020,,,,,
north-carolina-humanities-council,literature,1/1/2000,1/1/2020,,,,,
humanities-north-dakota,literature,1/1/2000,1/1/2020,,,,,
northern-marianas-humanities-council,literature,1/1/2000,1/1/2020,,,,,
ohio-humanities,literature,1/1/2000,1/1/2020,,,,,
oklahoma-humanities,literature,1/1/2000,1/1/2020,,,,,
oregon-humanities,literature,1/1/2000,1/1/2020,,,,,
pennsylvania-humanities-council,literature,1/1/2000,1/1/2020,,,,,
puerto-rican-foundation-for-the-humanities,literature,1/1/2000,1/1/2020,,,,,
rhode-island-council-for-the-humanities,literature,1/1/2000,1/1/2020,,,,,
south-carolina-humanities,literature,1/1/2000,1/1/2020,,,,,
south-dakota-humanities-council,literature,1/1/2000,1/1/2020,,,,,
humanities-tennessee,literature,1/1/2000,1/1/2020,,,,,
humanities-texas,literature,1/1/2000,1/1/2020,,,,,
utah-humanities,literature,1/1/2000,1/1/2020,,,,,
vermont-humanities,literature,1/1/2000,1/1/2020,,,,,
virigin-islands-humanities-council,literature,1/1/2000,1/1/2020,,,,,
virginia-humanities,literature,1/1/2000,1/1/2020,,,,,
humanities-washington,literature,1/1/2000,1/1/2020,,,,,
west-virginia-humanities-council,literature,1/1/2000,1/1/2020,,,,,
wisconsin-humanities-council,literature,1/1/2000,1/1/2020,,,,,
thinkwy-wyoming-humanities,literature,1/1/2000,1/1/2020,,,,,
national-endowment-for-the-humanities,philosophy,1/1/2000,1/1/2020,,,,,
alabama-humanities-council,philosophy,1/1/2000,1/1/2020,,,,,
alaska-humanites-forum,philosophy,1/1/2000,1/1/2020,,,,,
amerika-samoa-humanities-council,philosophy,1/1/2000,1/1/2020,,,,,
arizona-humanities-council,philosophy,1/1/2000,1/1/2020,,,,,
arkansas-humanities-council,philosophy,1/1/2000,1/1/2020,,,,,
california-humanities,philosophy,1/1/2000,1/1/2020,,,,,
colorado-humanities,philosophy,1/1/2000,1/1/2020,,,,,
connecticut-humanities,philosophy,1/1/2000,1/1/2020,,,,,
delaware-humanities,philosophy,1/1/2000,1/1/2020,,,,,
humanities-dc,philosophy,1/1/2000,1/1/2020,,,,,
florida-humanities-council,philosophy,1/1/2000,1/1/2020,,,,,
georgia-humanities,philosophy,1/1/2000,1/1/2020,,,,,
humanities-guahan-guam,philosophy,1/1/2000,1/1/2020,,,,,
hawai-i-council-for-the-humanities,philosophy,1/1/2000,1/1/2020,,,,,
idaho-humanities-council,philosophy,1/1/2000,1/1/2020,,,,,
illinois-humanities,philosophy,1/1/2000,1/1/2020,,,,,
indiana-humanties,philosophy,1/1/2000,1/1/2020,,,,,
humanities-iowa,philosophy,1/1/2000,1/1/2020,,,,,
humanities-kansas,philosophy,1/1/2000,1/1/2020,,,,,
kentucky-humanities,philosophy,1/1/2000,1/1/2020,,,,,
louisiana-endowment-for-the-humanities,philosophy,1/1/2000,1/1/2020,,,,,
maine-humanities-council,philosophy,1/1/2000,1/1/2020,,,,,
maryland-humanities,philosophy,1/1/2000,1/1/2020,,,,,
mass-humanities-massachusets,philosophy,1/1/2000,1/1/2020,,,,,
mi-humanities-michicgan,philosophy,1/1/2000,1/1/2020,,,,,
minnesota-humanities-center,philosophy,1/1/2000,1/1/2020,,,,,
mississippi-humanities,philosophy,1/1/2000,1/1/2020,,,,,
missouri-humanities,philosophy,1/1/2000,1/1/2020,,,,,
humanities-montana,philosophy,1/1/2000,1/1/2020,,,,,
humanities-nebraska,philosophy,1/1/2000,1/1/2020,,,,,
nevada-humanities,philosophy,1/1/2000,1/1/2020,,,,,
new-hampshire-humanities,philosophy,1/1/2000,1/1/2020,,,,,
new-jersey-council-for-the-humanities,philosophy,1/1/2000,1/1/2020,,,,,
new-mexico-humanities-council,philosophy,1/1/2000,1/1/2020,,,,,
new-york-humanities-council,philosophy,1/1/2000,1/1/2020,,,,,
north-carolina-humanities-council,philosophy,1/1/2000,1/1/2020,,,,,
humanities-north-dakota,philosophy,1/1/2000,1/1/2020,,,,,
northern-marianas-humanities-council,philosophy,1/1/2000,1/1/2020,,,,,
ohio-humanities,philosophy,1/1/2000,1/1/2020,,,,,
oklahoma-humanities,philosophy,1/1/2000,1/1/2020,,,,,
oregon-humanities,philosophy,1/1/2000,1/1/2020,,,,,
pennsylvania-humanities-council,philosophy,1/1/2000,1/1/2020,,,,,
puerto-rican-foundation-for-the-humanities,philosophy,1/1/2000,1/1/2020,,,,,
rhode-island-council-for-the-humanities,philosophy,1/1/2000,1/1/2020,,,,,
south-carolina-humanities,philosophy,1/1/2000,1/1/2020,,,,,
south-dakota-humanities-council,philosophy,1/1/2000,1/1/2020,,,,,
humanities-tennessee,philosophy,1/1/2000,1/1/2020,,,,,
humanities-texas,philosophy,1/1/2000,1/1/2020,,,,,
utah-humanities,philosophy,1/1/2000,1/1/2020,,,,,
vermont-humanities,philosophy,1/1/2000,1/1/2020,,,,,
virigin-islands-humanities-council,philosophy,1/1/2000,1/1/2020,,,,,
virginia-humanities,philosophy,1/1/2000,1/1/2020,,,,,
humanities-washington,philosophy,1/1/2000,1/1/2020,,,,,
west-virginia-humanities-council,philosophy,1/1/2000,1/1/2020,,,,,
wisconsin-humanities-council,philosophy,1/1/2000,1/1/2020,,,,,
thinkwy-wyoming-humanities,philosophy,1/1/2000,1/1/2020,,,,,
national-endowment-for-the-humanities,history,1/1/2000,1/1/2020,,,,,
alabama-humanities-council,history,1/1/2000,1/1/2020,,,,,
alaska-humanites-forum,history,1/1/2000,1/1/2020,,,,,
amerika-samoa-humanities-council,history,1/1/2000,1/1/2020,,,,,
arizona-humanities-council,history,1/1/2000,1/1/2020,,,,,
arkansas-humanities-council,history,1/1/2000,1/1/2020,,,,,
california-humanities,history,1/1/2000,1/1/2020,,,,,
colorado-humanities,history,1/1/2000,1/1/2020,,,,,
connecticut-humanities,history,1/1/2000,1/1/2020,,,,,
delaware-humanities,history,1/1/2000,1/1/2020,,,,,
humanities-dc,history,1/1/2000,1/1/2020,,,,,
florida-humanities-council,history,1/1/2000,1/1/2020,,,,,
georgia-humanities,history,1/1/2000,1/1/2020,,,,,
humanities-guahan-guam,history,1/1/2000,1/1/2020,,,,,
hawai-i-council-for-the-humanities,history,1/1/2000,1/1/2020,,,,,
idaho-humanities-council,history,1/1/2000,1/1/2020,,,,,
illinois-humanities,history,1/1/2000,1/1/2020,,,,,
indiana-humanties,history,1/1/2000,1/1/2020,,,,,
humanities-iowa,history,1/1/2000,1/1/2020,,,,,
humanities-kansas,history,1/1/2000,1/1/2020,,,,,
kentucky-humanities,history,1/1/2000,1/1/2020,,,,,
louisiana-endowment-for-the-humanities,history,1/1/2000,1/1/2020,,,,,
maine-humanities-council,history,1/1/2000,1/1/2020,,,,,
maryland-humanities,history,1/1/2000,1/1/2020,,,,,
mass-humanities-massachusets,history,1/1/2000,1/1/2020,,,,,
mi-humanities-michicgan,history,1/1/2000,1/1/2020,,,,,
minnesota-humanities-center,history,1/1/2000,1/1/2020,,,,,
mississippi-humanities,history,1/1/2000,1/1/2020,,,,,
missouri-humanities,history,1/1/2000,1/1/2020,,,,,
humanities-montana,history,1/1/2000,1/1/2020,,,,,
humanities-nebraska,history,1/1/2000,1/1/2020,,,,,
nevada-humanities,history,1/1/2000,1/1/2020,,,,,
new-hampshire-humanities,history,1/1/2000,1/1/2020,,,,,
new-jersey-council-for-the-humanities,history,1/1/2000,1/1/2020,,,,,
new-mexico-humanities-council,history,1/1/2000,1/1/2020,,,,,
new-york-humanities-council,history,1/1/2000,1/1/2020,,,,,
north-carolina-humanities-council,history,1/1/2000,1/1/2020,,,,,
humanities-north-dakota,history,1/1/2000,1/1/2020,,,,,
northern-marianas-humanities-council,history,1/1/2000,1/1/2020,,,,,
ohio-humanities,history,1/1/2000,1/1/2020,,,,,
oklahoma-humanities,history,1/1/2000,1/1/2020,,,,,
oregon-humanities,history,1/1/2000,1/1/2020,,,,,
pennsylvania-humanities-council,history,1/1/2000,1/1/2020,,,,,
puerto-rican-foundation-for-the-humanities,history,1/1/2000,1/1/2020,,,,,
rhode-island-council-for-the-humanities,history,1/1/2000,1/1/2020,,,,,
south-carolina-humanities,history,1/1/2000,1/1/2020,,,,,
south-dakota-humanities-council,history,1/1/2000,1/1/2020,,,,,
humanities-tennessee,history,1/1/2000,1/1/2020,,,,,
humanities-texas,history,1/1/2000,1/1/2020,,,,,
utah-humanities,history,1/1/2000,1/1/2020,,,,,
vermont-humanities,history,1/1/2000,1/1/2020,,,,,
virigin-islands-humanities-council,history,1/1/2000,1/1/2020,,,,,
virginia-humanities,history,1/1/2000,1/1/2020,,,,,
humanities-washington,history,1/1/2000,1/1/2020,,,,,
west-virginia-humanities-council,history,1/1/2000,1/1/2020,,,,,
wisconsin-humanities-council,history,1/1/2000,1/1/2020,,,,,
thinkwy-wyoming-humanities,history,1/1/2000,1/1/2020,,,,,
national-endowment-for-the-humanities,arts,1/1/2000,1/1/2020,,,,,
alabama-humanities-council,arts,1/1/2000,1/1/2020,,,,,
alaska-humanites-forum,arts,1/1/2000,1/1/2020,,,,,
amerika-samoa-humanities-council,arts,1/1/2000,1/1/2020,,,,,
arizona-humanities-council,arts,1/1/2000,1/1/2020,,,,,
arkansas-humanities-council,arts,1/1/2000,1/1/2020,,,,,
california-humanities,arts,1/1/2000,1/1/2020,,,,,
colorado-humanities,arts,1/1/2000,1/1/2020,,,,,
connecticut-humanities,arts,1/1/2000,1/1/2020,,,,,
delaware-humanities,arts,1/1/2000,1/1/2020,,,,,
humanities-dc,arts,1/1/2000,1/1/2020,,,,,
florida-humanities-council,arts,1/1/2000,1/1/2020,,,,,
georgia-humanities,arts,1/1/2000,1/1/2020,,,,,
humanities-guahan-guam,arts,1/1/2000,1/1/2020,,,,,
hawai-i-council-for-the-humanities,arts,1/1/2000,1/1/2020,,,,,
idaho-humanities-council,arts,1/1/2000,1/1/2020,,,,,
illinois-humanities,arts,1/1/2000,1/1/2020,,,,,
indiana-humanties,arts,1/1/2000,1/1/2020,,,,,
humanities-iowa,arts,1/1/2000,1/1/2020,,,,,
humanities-kansas,arts,1/1/2000,1/1/2020,,,,,
kentucky-humanities,arts,1/1/2000,1/1/2020,,,,,
louisiana-endowment-for-the-humanities,arts,1/1/2000,1/1/2020,,,,,
maine-humanities-council,arts,1/1/2000,1/1/2020,,,,,
maryland-humanities,arts,1/1/2000,1/1/2020,,,,,
mass-humanities-massachusets,arts,1/1/2000,1/1/2020,,,,,
mi-humanities-michicgan,arts,1/1/2000,1/1/2020,,,,,
minnesota-humanities-center,arts,1/1/2000,1/1/2020,,,,,
mississippi-humanities,arts,1/1/2000,1/1/2020,,,,,
missouri-humanities,arts,1/1/2000,1/1/2020,,,,,
humanities-montana,arts,1/1/2000,1/1/2020,,,,,
humanities-nebraska,arts,1/1/2000,1/1/2020,,,,,
nevada-humanities,arts,1/1/2000,1/1/2020,,,,,
new-hampshire-humanities,arts,1/1/2000,1/1/2020,,,,,
new-jersey-council-for-the-humanities,arts,1/1/2000,1/1/2020,,,,,
new-mexico-humanities-council,arts,1/1/2000,1/1/2020,,,,,
new-york-humanities-council,arts,1/1/2000,1/1/2020,,,,,
north-carolina-humanities-council,arts,1/1/2000,1/1/2020,,,,,
humanities-north-dakota,arts,1/1/2000,1/1/2020,,,,,
northern-marianas-humanities-council,arts,1/1/2000,1/1/2020,,,,,
ohio-humanities,arts,1/1/2000,1/1/2020,,,,,
oklahoma-humanities,arts,1/1/2000,1/1/2020,,,,,
oregon-humanities,arts,1/1/2000,1/1/2020,,,,,
pennsylvania-humanities-council,arts,1/1/2000,1/1/2020,,,,,
puerto-rican-foundation-for-the-humanities,arts,1/1/2000,1/1/2020,,,,,
rhode-island-council-for-the-humanities,arts,1/1/2000,1/1/2020,,,,,
south-carolina-humanities,arts,1/1/2000,1/1/2020,,,,,
south-dakota-humanities-council,arts,1/1/2000,1/1/2020,,,,,
humanities-tennessee,arts,1/1/2000,1/1/2020,,,,,
humanities-texas,arts,1/1/2000,1/1/2020,,,,,
utah-humanities,arts,1/1/2000,1/1/2020,,,,,
vermont-humanities,arts,1/1/2000,1/1/2020,,,,,
virigin-islands-humanities-council,arts,1/1/2000,1/1/2020,,,,,
virginia-humanities,arts,1/1/2000,1/1/2020,,,,,
humanities-washington,arts,1/1/2000,1/1/2020,,,,,
west-virginia-humanities-council,arts,1/1/2000,1/1/2020,,,,,
wisconsin-humanities-council,arts,1/1/2000,1/1/2020,,,,,
thinkwy-wyoming-humanities,arts,1/1/2000,1/1/2020,,,,,
